typePeriode;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_dimensionName;source_dimensionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
HEBDOMADAIRE;;;;BOIgSl0xK9V;;;;;;;;;;;;;TLOH;N98aAfUyooe;;BOIgSl0xK9V;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;CBEwOLSbMkT;;;;;;;;;;;;;TLOH;N98aAfUyooe;;CBEwOLSbMkT;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;Dimnz6aodfH;;;;;;;;;;;;;TLOH;N98aAfUyooe;;Dimnz6aodfH;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;EbXw8UydWIk;;;;;;;;;;;;;TLOH;N98aAfUyooe;;EbXw8UydWIk;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;Edi5YtlCbyF;;;;;;;;;;;;;TLOH;N98aAfUyooe;;Edi5YtlCbyF;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;Gv1VM7WSpiD;;;;;;;;;;;;;TLOH;N98aAfUyooe;;Gv1VM7WSpiD;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;HTAdK48cHye;;;;;;;;;;;;;TLOH;N98aAfUyooe;;HTAdK48cHye;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;HhkWmgnbSve;;;;;;;;;;;;;TLOH;N98aAfUyooe;;HhkWmgnbSve;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;I2m9SHHf0Pm;;;;;;;;;;;;;TLOH;N98aAfUyooe;;I2m9SHHf0Pm;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;IF6IutOTRxZ;;;;;;;;;;;;;TLOH;N98aAfUyooe;;IF6IutOTRxZ;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;IVBIYSfRfri;;;;;;;;;;;;;TLOH;N98aAfUyooe;;IVBIYSfRfri;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;IwUR9vkmpKg;;;;;;;;;;;;;TLOH;N98aAfUyooe;;IwUR9vkmpKg;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;JeKmQefnSmH;;;;;;;;;;;;;TLOH;N98aAfUyooe;;JeKmQefnSmH;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;L8HpAsNkJRz;;;;;;;;;;;;;TLOH;N98aAfUyooe;;L8HpAsNkJRz;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;MJ2MEU8r8OG;;;;;;;;;;;;;TLOH;N98aAfUyooe;;MJ2MEU8r8OG;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;OKrJLHhI669;;;;;;;;;;;;;TLOH;N98aAfUyooe;;OKrJLHhI669;;;;XELcwO4SEhs;;;;;;;;
HEBDOMADAIRE;;;;PnGnIy9lCL0;;;;;;;;;;;;;TLOH;N98aAfUyooe;;PnGnIy9lCL0;;;;XELcwO4SEhs;;;;;;;;
