ordreExecution;description;typePeriode;source_name;source_indicatorName;source_indicatorId;source_dataElementName;source_dataElementId;source_categorieComboName;source_categorieComboId;source_categorieComboOptionName;source_categorieComboOptionId;source_orgUnitName;source_orgUnitId;source_orgUnitGroupName;source_orgUnitGroupId;source_orgUnitOfProgramName;source_orgUnitOfProgramId;source_orgUnitOfDataSetName;source_orgUnitOfDataSetId;destination_name;destination_dataElementName;destination_dataElementId;destination_categorieComboName;destination_categorieComboId;destination_categorieComboOptionName;destination_categorieComboOptionId;destination_orgUnitName;destination_orgUnitId;destination_orgUnitGroupName;destination_orgUnitGroupId;destination_orgUnitOfProgramName;destination_orgUnitOfProgramId;destination_orgUnitOfDataSetName;destination_orgUnitOfDataSetId
1;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 6_un ou plusieurs décès causés par une infection respiratoire chez les personnes qui ont des contacts avec des animaux;pkTZX7v6CkL;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 6_un ou plusieurs décès causés par une infection respiratoire chez les personnes qui ont des contacts avec des animaux;pkTZX7v6CkL;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 4 _Deux ou plusieurs personnes deviennent malades après avoir pris part aux funérailles;Dar1VTeuQC5;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 4 _Deux ou plusieurs personnes deviennent malades après avoir pris part aux funérailles;Dar1VTeuQC5;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evenement 7_Deux personnes ou plus atteintes de fièvre et de toux sévère dans la même école, la même famille ou le même milieu dans la même semaine (absentéisme ou hospitalisation);yiNzYqg8QYv;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evenement 7_Deux personnes ou plus atteintes de fièvre et de toux sévère dans la même école, la même famille ou le même milieu dans la même semaine (absentéisme ou hospitalisation);yiNzYqg8QYv;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 8_Deux personnes ou plus issues du même milieu, présentant les mêmes signes nécessitant qu’elles soient alitées ou hospitalisées;BFWb943XvDc;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 8_Deux personnes ou plus issues du même milieu, présentant les mêmes signes nécessitant qu’elles soient alitées ou hospitalisées;BFWb943XvDc;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 2_Deux décès inexpliqués ou plus dans la même semaine parmi un groupe de personnes;a5nZOprgLHE;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 2_Deux décès inexpliqués ou plus dans la même semaine parmi un groupe de personnes;a5nZOprgLHE;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 1_Décès inexpliqué d’un agent de la santé, des  ressources animales de l’environnement, d’un ASBC/VVV/Ecogardes/Pisteurs ou d’un tradipraticien de santé;w8aDNWjUbh9;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 1_Décès inexpliqué d’un agent de la santé, des  ressources animales de l’environnement, d’un ASBC/VVV/Ecogardes/Pisteurs ou d’un tradipraticien de santé;w8aDNWjUbh9;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 7_Nombre de décès ou maladie d’une personne moins d’une semaine après son arrivée d’un voyage hors du pays;AbBQuHIpigU;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 7_Nombre de décès ou maladie d’une personne moins d’une semaine après son arrivée d’un voyage hors du pays;AbBQuHIpigU;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 9_Toute condition médicale atypique par sa fréquence et/ou sa présentation clinique, y compris les malformations congénitales;WplU8YpfWS7;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 9_Toute condition médicale atypique par sa fréquence et/ou sa présentation clinique, y compris les malformations congénitales;WplU8YpfWS7;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 10_Tout évènement sanitaire créant une inquiétude ou une psychose dans la communauté;quWXKhoxsDN;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 10_Tout évènement sanitaire créant une inquiétude ou une psychose dans la communauté;quWXKhoxsDN;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;RESUREPMRAH;old_Elevage_Evènement 5_Mort de plusieurs volailles et/ou autres animaux dans la même village/Aire faunique et dans le même semaine ou maladie  de plusieurs animaux de retour de transhumance;S18tASCtPVA;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;old_Elevage_Evènement 5_Mort de plusieurs volailles et/ou autres animaux dans la même village/Aire faunique et dans le même semaine ou maladie  de plusieurs animaux de retour de transhumance;S18tASCtPVA;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;RESUREPMRAH;Elevage_Evenement 1_ Une (01) personne ou plus atteintes de fièvre et de toux sévère (absentéisme ou hospitalisation);wZnDKi2w6ke;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;Elevage_Evenement 1_ Une (01) personne ou plus atteintes de fièvre et de toux sévère (absentéisme ou hospitalisation);I7Jm4ncvQ4J;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;RESUREPMRAH;Elevage_Evenement 10_ Décès ou maladies inexpliqués de plusieurs personnes d’une même concession ou d’une même communauté suite à la consommation d’aliments;tnj3LXmhkME;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;Elevage_Evenement 10_ Décès ou maladies inexpliqués de plusieurs personnes d’une même concession ou d’une même communauté suite à la consommation d’aliments;JRohIz2GMzO;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;RESUREPMRAH;Elevage_Evenement 11_ La mort de plusieurs animaux, oiseaux et poissons quelques heures après consommation d’herbe et d’eau très proche d’un lieu de jardinage congénitales;EqOHH2sSTfJ;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;Elevage_Evenement 11_ La mort de plusieurs animaux, oiseaux et poissons quelques heures après consommation d’herbe et d’eau très proche d’un lieu de jardinage congénitales;B8HwJWzGjdq;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;RESUREPMRAH;Elevage_Evenement 12_ Tout évènement sanitaire créant une inquiétude ou une psychose dans la communauté;yVJAw4VToeI;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;Elevage_Evenement 12_ Tout évènement sanitaire créant une inquiétude ou une psychose dans la communauté;oekcrBazcZb;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;RESUREPMRAH;Elevage_Evenement 2_ Le décès ou maladie d’une personne moins d’une semaine après son arrivée d’un voyage hors du pays ou à l’intérieur du pays;NAAViLcHNxq;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;Elevage_Evenement 2_ Le décès ou maladie d’une personne moins d’une semaine après son arrivée d’un voyage hors du pays ou à l’intérieur du pays;HcuOgk78DdB;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;RESUREPMRAH;Elevage_Evenement 3_ Un (01) ou plusieurs décès survenus dans le village causés par une infection respiratoire chez les personnes qui ont des contacts avec des animaux ou pas;nPdhL4Ob6w3;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;Elevage_Evenement 3_ Un (01) ou plusieurs décès survenus dans le village causés par une infection respiratoire chez les personnes qui ont des contacts avec des animaux ou pas;dmcUn8gTOpW;;;;;;;;;;;;
1;MAJ initial;QUOTIDIEN;RESUREPMRAH;Elevage_Evenement 4_ Toute condition médicale atypique du fait de sa fréquence et/ou de sa présentation clinique, y compris les malformations congénitales et les faiblesses musculaires chez des enfants;dBK9AuW87B1;;;;;;;;;;;Formulaire de notification de maladie;TdsU2XfEig0;;;ONEHEALTH;Elevage_Evenement 4_ Toute condition médicale atypique du fait de sa fréquence et/ou de sa présentation clinique, y compris les malformations congénitales et les faiblesses musculaires chez des enfants;vw7RIB1a4O5;;;;;;;;;;;;
