source_dhis_programName;source_dhis_programId;source_dhis_attributName;source_dhis_attributId;source_dhis_programStageName;source_dhis_programStageId;source_dhis_programStageDataElementName;source_dhis_programStageDataElementId;source_dhis_programMasterName;source_dhis_programMasterId;source_dhis_attributValueUniqueName;source_dhis_attributValueUniqueId;source_dhis_dataElementValueUniqueName;source_dhis_dataElementValueUniqueId;destination_dhis_programName;destination_dhis_programId;destination_dhis_attributName;destination_dhis_attributId;destination_dhis_programStageName;destination_dhis_programStageId;destination_dhis_programStageDataElementName;destination_dhis_programStageDataElementId;destination_dhis_programMasterName;destination_dhis_programMasterId;destination_dhis_attributValueUniqueName;destination_dhis_attributValueUniqueId;destination_dhis_dataElementValueUniqueName;destination_dhis_dataElementValueUniqueId;AllAttributValueMatching;AllDataElementValueMatching;changeValue
Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.10. Décès ou maladies inexpliqués de plusieurs personnes d’une même concession ou d’une même communauté suite à la consommation d’aliments;SAaQhJ2MGBN;;;;;;;Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.10. Décès ou maladies inexpliqués de plusieurs personnes d’une même concession ou d’une même communauté suite à la consommation d’aliments;SAaQhJ2MGBN;;;;;;;;;
Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.1. Une (01) personne ou plus atteintes de fièvre et de toux sévère (absentéisme ou hospitalisation);nEzbdWAHM4H;;;;;;;Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.1. Une (01) personne ou plus atteintes de fièvre et de toux sévère (absentéisme ou hospitalisation);nEzbdWAHM4H;;;;;;;;;
Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.2. Le décès ou maladie d’une personne moins d’une semaine après son arrivée d’un voyage hors du pays ou à l’intérieur du pays;IUBaxIxAMcF;;;;;;;Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.2. Le décès ou maladie d’une personne moins d’une semaine après son arrivée d’un voyage hors du pays ou à l’intérieur du pays;IUBaxIxAMcF;;;;;;;;;
Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.3. Un (01) ou plusieurs décès survenus dans le village causés par une infection respiratoire chez les personnes qui ont des contacts avec des animaux ou pas;Rl2g5ic8udF;;;;;;;Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.3. Un (01) ou plusieurs décès survenus dans le village causés par une infection respiratoire chez les personnes qui ont des contacts avec des animaux ou pas;Rl2g5ic8udF;;;;;;;;;
Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.4. Toute condition médicale atypique du fait de sa fréquence et/ou de sa présentation clinique, y compris les malformations congénitales et les faiblesses musculaires chez des enfants;tysCJwn05qo;;;;;;;Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.4. Toute condition médicale atypique du fait de sa fréquence et/ou de sa présentation clinique, y compris les malformations congénitales et les faiblesses musculaires chez des enfants;tysCJwn05qo;;;;;;;;;
Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.5. Décès inexpliqué d’un agent de la santé, des ressources animales, de l’environnement, de l’agriculture, d’un ASBC/VVV/ Ecogardes / Pisteurs, d’un tradipraticien de santé/animateur endogène;PyrvMv7G9ZV;;;;;;;Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.5. Décès inexpliqué d’un agent de la santé, des ressources animales, de l’environnement, de l’agriculture, d’un ASBC/VVV/ Ecogardes / Pisteurs, d’un tradipraticien de santé/animateur endogène;PyrvMv7G9ZV;;;;;;;;;
Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.6. Deux (02) décès inexpliqués ou plus dans la même semaine, parmi un groupe de personnes;V205nABtbi1;;;;;;;Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.6. Deux (02) décès inexpliqués ou plus dans la même semaine, parmi un groupe de personnes;V205nABtbi1;;;;;;;;;
Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.7. Deux (02) ou plusieurs personnes deviennent malades après avoir pris part aux funérailles, mariages, baptêmes ou tout autre regroupement;ZPIdpv5EImR;;;;;;;Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.7. Deux (02) ou plusieurs personnes deviennent malades après avoir pris part aux funérailles, mariages, baptêmes ou tout autre regroupement;ZPIdpv5EImR;;;;;;;;;
Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.8. La mort de plusieurs volailles et/ou autres animaux dans le même village/Aire faunique et dans la même semaine ou maladie de plusieurs animaux de retour de transhumance;byWnFdHHTlm;;;;;;;Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.8. La mort de plusieurs volailles et/ou autres animaux dans le même village/Aire faunique et dans la même semaine ou maladie de plusieurs animaux de retour de transhumance;byWnFdHHTlm;;;;;;;;;
Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.9. Deux (02) personnes ou plus issues du même milieu, présentant les mêmes signes nécessitants qu’elles soient alitées ou hospitalisées;BjAcoTIZ49e;;;;;;;Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.9. Deux (02) personnes ou plus issues du même milieu, présentant les mêmes signes nécessitants qu’elles soient alitées ou hospitalisées;BjAcoTIZ49e;;;;;;;;;
Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.11. La mort de plusieurs animaux, oiseaux et poissons quelques heures après consommation d’herbe et d’eau très proche d’un lieu de jardinage congénitales;e09mnVrP1lk;;;;;;;Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.11. La mort de plusieurs animaux, oiseaux et poissons quelques heures après consommation d’herbe et d’eau très proche d’un lieu de jardinage congénitales;e09mnVrP1lk;;;;;;;;;
Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.12. Tout évènement sanitaire créant une inquiétude ou une psychose dans la communauté;XFllBPBDgcy;;;;;;;Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;8.2.12. Tout évènement sanitaire créant une inquiétude ou une psychose dans la communauté;XFllBPBDgcy;;;;;;;;;
Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;Code Opération;QEpj5yfYAej;;;;;Code Opération;QEpj5yfYAej;Surveillance basée sur les évènements;bpmE6dMM37h;;;Surveillance basée sur les évènements;YUa0PaNTUl2;Code Opération;QEpj5yfYAej;;;;;Code Opération;QEpj5yfYAej;;;
